k,rep,target_R,min_target_allocation,max_target_allocation,has_negative_target_allocation,max_allocation_error,max_transfer_error,corner_error,pot_conservation_error,planted_zero_sum_error
3,7,0.9884263875182577,-0.42149716460708136,1.321759720851591,True,1.5543122344752192e-15,1.5543122344752192e-15,0.0,6.661338147750939e-16,1.1102230246251565e-16
3,8,0.08820930732715734,0.25860475094133395,0.42154264066049063,False,2.7755575615628914e-16,3.0531133177191805e-16,0.0,6.661338147750939e-16,0.0
3,9,0.5187323631372326,-0.044892991582681174,0.852065696470566,True,9.992007221626409e-16,9.992007221626409e-16,0.0,8.881784197001252e-16,1.1102230246251565e-16
3,10,0.4282813374611055,-0.09494800412777216,0.6707472475943095,True,6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,6.661338147750939e-16,6.938893903907228e-17
3,11,0.8100613209575261,-0.16746723315036488,1.1433946542908595,True,1.5543122344752192e-15,1.4432899320127035e-15,4.440892098500626e-16,8.881784197001252e-16,1.1102230246251565e-16
3,12,0.1078489567776813,0.22548437655565204,0.3982278408264021,False,3.3306690738754696e-16,3.469446951953614e-16,0.0,6.661338147750939e-16,4.163336342344337e-17
3,13,0.49904726675884564,-0.04695933764039123,0.8323806000921791,True,9.992007221626409e-16,9.992007221626409e-16,0.0,6.661338147750939e-16,1.1102230246251565e-16
3,14,0.4037223276487307,0.10514957365658253,0.7370556609820639,False,6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,6.661338147750939e-16,2.220446049250313e-16
3,15,0.90904682373776,-0.16675736145987435,1.2423801570710935,True,1.3322676295501878e-15,1.3322676295501878e-15,0.0,5.551115123125783e-16,0.0
3,16,0.10991200072129984,0.22835343293049476,0.4432453340546332,False,2.7755575615628914e-16,2.498001805406602e-16,1.1102230246251565e-16,5.551115123125783e-16,0.0
3,17,0.542055968339825,-0.20872263500649163,0.840142425083632,True,7.771561172376096e-16,8.881784197001252e-16,0.0,6.661338147750939e-16,0.0
3,18,0.9744497707395795,-0.6411164374062461,0.955291183281183,True,1.2212453270876722e-15,1.2212453270876722e-15,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16
3,19,0.6668846640770146,-0.14373018617205197,1.0002179974103487,True,1.3322676295501878e-15,1.3322676295501878e-15,0.0,6.661338147750939e-16,1.4155343563970746e-15
3,20,0.5044297704838708,-0.17109643715053785,0.6677465522611163,True,1.0824674490095276e-15,1.1102230246251565e-15,0.0,4.440892098500626e-16,5.551115123125783e-16
3,21,0.8959420345587045,-0.5626087012253713,0.8421956390584238,True,9.992007221626409e-16,8.881784197001252e-16,0.0,5.551115123125783e-16,0.0
3,22,0.8236138450333688,-0.22080400959572516,1.156947178366702,True,8.881784197001252e-16,8.881784197001252e-16,0.0,3.3306690738754696e-16,2.220446049250313e-16
3,23,0.46753508650295345,-0.13420175316962002,0.5879058727377173,True,4.440892098500626e-16,4.718447854656915e-16,2.220446049250313e-16,5.551115123125783e-16,5.551115123125783e-17
3,24,0.5419265177914124,-0.027964135563914305,0.8752598511247458,True,9.992007221626409e-16,9.992007221626409e-16,0.0,6.661338147750939e-16,0.0
3,25,0.5425430155180543,0.05692091792064252,0.8758763488513877,False,1.1102230246251565e-15,9.992007221626409e-16,0.0,7.771561172376096e-16,0.0
3,26,0.7366183953646819,-0.40328506203134856,0.7239900353485536,True,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
3,27,0.9450315891657196,-0.2059346985163139,1.278364922499053,True,1.1102230246251565e-15,1.1102230246251565e-15,0.0,4.440892098500626e-16,1.1102230246251565e-16
3,28,0.838506768053674,-0.5051734347203405,0.9436506355181355,True,7.771561172376096e-16,8.881784197001252e-16,0.0,4.440892098500626e-16,1.3877787807814457e-16
3,29,0.157076908009258,0.17625642532407526,0.47313014921623686,False,3.885780586188048e-16,3.885780586188048e-16,0.0,5.551115123125783e-16,1.1102230246251565e-16
3,30,0.36578198065673095,0.016699777320136833,0.6991153139900643,False,7.771561172376096e-16,7.216449660063518e-16,0.0,6.661338147750939e-16,0.0
3,31,0.8947730832040438,-0.5614397498707104,0.9542175277432956,True,1.1102230246251565e-15,9.992007221626409e-16,4.440892098500626e-16,6.661338147750939e-16,1.1102230246251565e-16
3,32,0.21386944277876396,0.11946389055456944,0.5267070492729953,False,6.661338147750939e-16,6.938893903907228e-16,0.0,6.661338147750939e-16,1.942890293094024e-16
3,33,0.7197053148595126,-0.3863719815261793,0.993403402863132,True,1.2212453270876722e-15,1.3322676295501878e-15,0.0,6.661338147750939e-16,1.1102230246251565e-16
