family,seed,audit_id,dataset_index,target,resolved,certification_pass,quadrature_order,numerical_tolerance,nested_quadrature_error,endpoint_change,R,D,H,chi,R_over_s,D_over_s,H_over_s,max_abs_transfer_entry,pot_conservation_error,bshap_reconstruction_error,ig_reconstruction_error,bshap_completeness_error,ig_completeness_error,margin_gap_error,interior_mobius_reconstruction_error
additive,20260840,40,10139,1.595,True,True,32,3.250886749983377e-08,4.218847493575595e-15,0.4820099635311563,3.973644330246273e-14,6.142986251953109e-16,3.9122144677267424e-14,,1.2223262869020558e-14,1.8896340366161696e-16,1.2034299465358943e-14,6.661338147750939e-16,1.7763568394002505e-15,6.661338147750939e-16,0.0,1.942890293094024e-15,4.440892098500626e-16,7.02612571298492e-16,4.440892098500626e-16
additive,20260840,41,13689,1.6,True,True,32,3.250886749983377e-08,4.440892098500626e-16,0.26530417178444066,4.36805539655305e-14,9.316807411542341e-16,4.2748873224376264e-14,,1.3436504352467477e-14,2.865928015360726e-16,1.3149911550931405e-14,4.440892098500626e-16,1.7763568394002505e-15,7.771561172376096e-16,0.0,1.1102230246251565e-16,7.771561172376096e-16,6.656051371443199e-16,4.440892098500626e-16
additive,20260840,42,12306,1.611,True,True,32,3.250886749983377e-08,1.883385114531677e-11,0.5112682532531494,5.518502321777419e-14,1.4985367444285743e-15,5.3686486473345615e-14,,1.6975375478108047e-14,4.609624572237827e-16,1.6514413020884267e-14,1.1379786002407855e-15,2.6645352591003757e-15,1.7763568394002505e-15,0.0,1.4432899320127035e-15,4.440892098500626e-16,1.97091020752504e-15,4.440892098500626e-16
additive,20260840,43,14526,1.634,True,True,32,3.250886749983377e-08,1.9352344171608138e-09,0.05889711273271647,4.0294156899989275e-14,8.442320916420463e-16,3.944992480834723e-14,,1.2394820244105801e-14,2.596928643073657e-16,1.2135127379798434e-14,8.881784197001252e-16,3.1086244689504383e-15,1.5543122344752192e-15,0.0,1.4155343563970746e-15,6.106226635438361e-16,1.7160875894920275e-15,4.440892098500626e-16
additive,20260840,44,17733,1.645,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.5863186530977598,2.73808211347093e-14,3.377470467654428e-16,2.7043074087943857e-14,,8.422569975668732e-15,1.0389382120652768e-16,8.318676154462206e-15,2.7755575615628914e-16,1.5543122344752192e-15,1.3322676295501878e-15,0.0,6.661338147750939e-16,1.1102230246251565e-16,1.021405182655144e-15,4.440892098500626e-16
additive,20260840,45,6168,1.655,True,True,32,3.250886749983377e-08,4.440892098500626e-16,0.5012828370142812,6.052016526814086e-14,6.612352861024543e-16,5.985892998203841e-14,,1.8616509870253192e-14,2.034015137887641e-16,1.841310835646443e-14,6.661338147750939e-16,3.1086244689504383e-15,6.661338147750939e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16,5.511464300817743e-16,4.440892098500626e-16
additive,20260840,46,14636,1.663,True,True,32,3.250886749983377e-08,2.979898772181855e-09,1.0619156161107637,5.843849709696869e-14,9.506202042473098e-16,5.748787689272138e-14,,1.797617130072818e-14,2.92418739057019e-16,1.768375256167116e-14,8.881784197001252e-16,3.3306690738754696e-15,1.1102230246251565e-15,0.0,0.0,4.440892098500626e-16,9.595498998545995e-16,1.1102230246251565e-15
additive,20260840,47,13286,1.664,True,True,32,3.250886749983377e-08,4.440892098500626e-16,0.9020813528722709,4.312349088930745e-14,7.2456921415157e-16,4.2398921675155876e-14,,1.3265147083185212e-14,2.2288356066395576e-16,1.3042263522521256e-14,6.661338147750939e-16,1.9984014443252818e-15,1.1102230246251565e-15,0.0,2.220446049250313e-15,1.1102230246251565e-16,1.3219584157500969e-15,4.440892098500626e-16
additive,20260840,48,14542,1.683,True,True,32,3.250886749983377e-08,1.9352344171608138e-09,0.5501141962417637,2.6661832464025533e-14,9.086233749527093e-16,2.5753209089072825e-14,,8.201403036928883e-15,2.7950016251945886e-16,7.921902874409424e-15,8.881784197001252e-16,1.9984014443252818e-15,8.881784197001252e-16,0.0,8.881784197001252e-16,4.440892098500626e-16,4.2373512106526795e-16,4.440892098500626e-16
additive,20260840,49,14720,1.772,True,True,32,3.250886749983377e-08,2.979898772181855e-09,0.6484799086130035,5.918182610642475e-14,9.835386473509645e-16,5.819828745907379e-14,,1.820482553159607e-14,3.025447279441505e-16,1.790228080365192e-14,8.881784197001252e-16,2.6645352591003757e-15,1.1102230246251565e-15,0.0,1.9984014443252818e-15,2.220446049250313e-16,9.994650609780277e-16,4.440892098500626e-16
additive,20260840,50,7158,1.819,True,True,32,3.250886749983377e-08,4.440892098500626e-16,-0.16062505029712182,4.019354293838262e-14,5.665111237261401e-16,3.962703181465648e-14,,1.2363870546578759e-14,1.7426356784930662e-16,1.2189606978729452e-14,6.661338147750939e-16,2.886579864025407e-15,2.220446049250313e-15,0.0,2.6645352591003757e-15,0.0,2.5614431210994685e-15,4.440892098500626e-16
additive,20260840,51,730,1.828,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.993506873165436,3.172288820518787e-14,5.634216638213052e-16,3.115946654136657e-14,,9.758226184086568e-15,1.7331322409929727e-16,9.58491295998727e-15,4.440892098500626e-16,1.5543122344752192e-15,8.881784197001252e-16,0.0,1.1102230246251565e-15,6.661338147750939e-16,7.367122784834075e-16,4.440892098500626e-16
additive,20260840,52,738,1.869,True,True,32,3.250886749983377e-08,2.220446049250313e-16,1.104876848951168,4.772094178151498e-14,3.8540186254017084e-16,4.733553991897481e-14,,1.467936149475493e-14,1.1855284178759582e-16,1.4560808652967333e-14,5.329070518200751e-16,2.6645352591003757e-15,3.3306690738754696e-16,0.0,6.661338147750939e-16,8.881784197001252e-16,4.287575585576199e-16,4.440892098500626e-16
additive,20260840,53,3461,1.894,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.6871482346146198,1.2292250550771655e-14,3.330008226837002e-16,1.1959249728087955e-14,,3.781199253045191e-15,1.0243384291544544e-16,3.678765410129746e-15,2.498001805406602e-16,6.661338147750939e-16,1.1102230246251565e-15,0.0,7.771561172376096e-16,1.1102230246251565e-16,1.0597343108862507e-15,4.440892098500626e-16
additive,20260840,54,15343,1.898,True,True,32,3.250886749983377e-08,9.823053481738953e-11,0.07406142248751513,5.5393190034891404e-14,7.407434454180581e-16,5.4652446589473346e-14,,1.703940933506055e-14,2.278588897081222e-16,1.6811550445352426e-14,8.881784197001252e-16,3.9968028886505635e-15,2.6645352591003757e-15,0.0,3.774758283725532e-15,2.7755575615628914e-16,2.5923707624997403e-15,4.440892098500626e-16
additive,20260840,55,8280,1.986,True,True,32,3.250886749983377e-08,1.176836406102666e-14,1.1659095373822166,3.9919456629178285e-14,6.841749389252529e-16,3.923528169025303e-14,,1.22795593015913e-14,2.1045794318388706e-16,1.2069101358407411e-14,4.440892098500626e-16,2.220446049250313e-15,1.3322676295501878e-15,0.0,0.0,2.220446049250313e-16,1.2635395375495832e-15,4.440892098500626e-16
additive,20260840,56,15471,1.99,True,True,32,3.250886749983377e-08,2.805422560925308e-10,0.25973298357928587,4.744277616163667e-14,1.2664858569533124e-15,4.6176290304683354e-14,,1.459379541962797e-14,3.895816601300517e-16,1.4204213759497919e-14,1.3322676295501878e-15,2.4424906541753444e-15,3.608224830031759e-16,0.0,9.992007221626409e-16,3.3306690738754696e-16,3.7086735798787964e-16,4.440892098500626e-16
additive,20260840,57,11110,2.013,True,True,32,3.250886749983377e-08,1.7985612998927536e-14,0.22902518318271836,4.424238753131249e-14,9.048317650695024e-16,4.333755576624299e-14,,1.3609329064304905e-14,2.7833383155353817e-16,1.3330995232751368e-14,8.881784197001252e-16,1.9984014443252818e-15,6.661338147750939e-16,0.0,9.43689570931383e-16,1.1102230246251565e-16,7.049916206369744e-16,4.440892098500626e-16
additive,20260840,58,14292,2.032,True,True,32,3.250886749983377e-08,4.2052272775094934e-10,0.5533025670213558,6.231820615099082e-14,9.297456984197216e-16,6.13884604525711e-14,,1.916960230968042e-14,2.8599756617928193e-16,1.8883604743501137e-14,1.1102230246251565e-15,2.886579864025407e-15,1.5543122344752192e-15,0.0,9.992007221626409e-16,4.440892098500626e-16,1.7472795697076867e-15,4.440892098500626e-16
additive,20260840,59,1456,2.041,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.510294838488462,2.20739767610445e-14,7.638426308462365e-16,2.1310134130198265e-14,,6.7901401859530705e-15,2.3496439266921315e-16,6.555175793283858e-15,4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,6.661338147750939e-16,8.437694987151189e-16,4.440892098500626e-16
additive,20260840,60,15570,2.109,True,True,32,3.250886749983377e-08,5.466316288504913e-10,0.6800473139942471,3.592937579399713e-14,1.2243327218455117e-15,3.470504307215162e-14,,1.1052177008067368e-14,3.7661500261483183e-16,1.0675562005452536e-14,1.1102230246251565e-15,1.9984014443252818e-15,1.9984014443252818e-15,0.0,9.992007221626409e-16,3.3306690738754696e-16,2.1789448552345632e-15,4.440892098500626e-16
additive,20260840,61,15883,2.173,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.9387424462847607,5.897886345973546e-14,2.441003748338794e-16,5.873476308490159e-14,,1.814239252106738e-14,7.508732035501623e-17,1.8067305200712365e-14,5.551115123125783e-16,3.3306690738754696e-15,2.6645352591003757e-15,0.0,3.9968028886505635e-15,6.661338147750939e-16,2.9153927949025837e-15,4.440892098500626e-16
additive,20260840,62,16663,2.193,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,0.8942527477511799,3.059965475449289e-14,4.53415413680433e-16,3.014623934081246e-14,,9.412710164280363e-15,1.3947437993118384e-16,9.27323578434918e-15,4.2327252813834093e-16,1.5543122344752192e-15,6.661338147750939e-16,0.0,6.661338147750939e-16,0.0,6.690415417443503e-16,4.440892098500626e-16
additive,20260840,63,11025,2.223,True,True,32,3.250886749983377e-08,1.7985612998927536e-14,0.527675333396443,3.0428784492109173e-14,1.0992034002587134e-15,2.932958109185046e-14,,9.360149040031852e-15,3.3812417496990135e-16,9.022024865061949e-15,1.1102230246251565e-15,2.220446049250313e-15,1.2212453270876722e-15,0.0,1.4432899320127035e-15,4.440892098500626e-16,1.387250103150672e-15,4.440892098500626e-16
additive,20260840,64,17449,2.231,True,True,32,3.250886749983377e-08,2.7755575615628914e-17,2.1904825702231907,2.920233499459357e-14,4.012332794054548e-16,2.880110171518812e-14,,8.9828828994867e-15,1.234227182498764e-16,8.859460181236822e-15,4.440892098500626e-16,2.4424906541753444e-15,1.2212453270876722e-15,0.0,4.440892098500626e-16,0.0,1.1012355049020003e-15,4.440892098500626e-16
additive,20260840,65,11267,2.256,True,True,32,3.250886749983377e-08,2.1094237467877974e-14,1.3428460860634273,4.0272472856539565e-14,7.958498278382548e-16,3.947662302870131e-14,,1.2388150050673249e-14,2.448100746180482e-16,1.21433399760552e-14,8.881784197001252e-16,1.9984014443252818e-15,1.3322676295501878e-15,0.0,2.220446049250313e-16,0.0,1.2558737119033614e-15,4.440892098500626e-16
additive,20260840,66,8013,2.262,True,True,32,3.250886749983377e-08,1.9761969838327786e-14,1.2707151232954832,4.9297371740308904e-14,6.041133202149325e-16,4.869325842009397e-14,,1.5164284557301474e-14,1.858303185178695e-16,1.4978454238783605e-14,6.661338147750939e-16,3.1086244689504383e-15,1.5543122344752192e-15,0.0,1.3322676295501878e-15,0.0,1.5852398758754914e-15,4.440892098500626e-16
additive,20260840,67,10222,2.296,True,True,32,3.250886749983377e-08,1.1102230246251565e-14,1.2879757600372068,4.7215703569136735e-14,6.706606169885952e-16,4.654504295214814e-14,,1.4523945987776462e-14,2.063008245341135e-16,1.431764516324235e-14,6.661338147750939e-16,2.886579864025407e-15,1.3322676295501878e-15,0.0,8.881784197001252e-16,4.440892098500626e-16,1.499858438505509e-15,4.440892098500626e-16
additive,20260840,68,13255,2.305,True,True,32,3.250886749983377e-08,2.220446049250313e-16,1.0252201946823627,4.2810373301893634e-14,6.717097116621624e-16,4.213866359023147e-14,,1.3168829490019158e-14,2.0662353484494564e-16,1.2962205955174212e-14,6.661338147750939e-16,1.1102230246251565e-15,1.4432899320127035e-15,0.0,6.661338147750939e-16,2.220446049250313e-16,1.386192747889124e-15,4.440892098500626e-16
additive,20260840,69,6618,2.306,True,True,32,3.250886749983377e-08,4.440892098500626e-16,0.5472802102228878,7.699223203427863e-14,8.552517160084888e-16,7.613698031827014e-14,,2.3683455609357145e-14,2.630825930841368e-16,2.3420373016273006e-14,5.828670879282072e-16,3.552713678800501e-15,9.992007221626409e-16,0.0,0.0,1.1102230246251565e-16,1.1170958338252172e-15,4.440892098500626e-16
additive,20260840,70,15039,2.414,True,True,32,3.250886749983377e-08,2.0809847178782093e-09,1.186160959649719,4.365952044338428e-14,1.2072353698721644e-15,4.2452285073512115e-14,,1.3430034264837902e-14,3.7135571390739384e-16,1.3058678550930508e-14,1.3322676295501878e-15,1.9984014443252818e-15,1.7763568394002505e-15,0.0,1.5543122344752192e-15,6.661338147750939e-16,1.902446454339822e-15,4.440892098500626e-16
additive,20260840,71,19348,2.446,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.8578839501268578,6.803932417476233e-14,9.049308921252729e-16,6.713439328263706e-14,,2.092946614492499e-14,2.7836432386637277e-16,2.065110182105862e-14,5.551115123125783e-16,3.1086244689504383e-15,1.5543122344752192e-15,0.0,1.7763568394002505e-15,8.881784197001252e-16,1.5210055437364644e-15,4.440892098500626e-16
additive,20260840,72,11032,2.48,True,True,32,3.250886749983377e-08,1.176836406102666e-14,1.2102491856638538,4.2216244063898734e-14,4.899325044949293e-16,4.17263115594038e-14,,1.2986070358838122e-14,1.507073430033927e-16,1.283536301583473e-14,4.440892098500626e-16,1.9984014443252818e-15,1.3322676295501878e-15,0.0,2.220446049250313e-15,0.0,1.2659185868880653e-15,4.440892098500626e-16
additive,20260840,73,19241,2.542,True,True,32,3.250886749983377e-08,2.220446049250313e-16,1.2070914364377883,3.4812430715902565e-14,6.778308073559662e-16,3.41345999085466e-14,,1.0708595344356604e-14,2.085064351624775e-16,1.0500088909194127e-14,2.7755575615628914e-16,1.9984014443252818e-15,3.3306690738754696e-15,0.0,3.9968028886505635e-15,4.440892098500626e-16,3.378514399460506e-15,4.440892098500626e-16
additive,20260840,74,16647,2.589,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,1.4048580527433536,4.120835617182905e-14,7.099644946014413e-16,4.049839167722761e-14,,1.2676035599222202e-14,2.1839102657300247e-16,1.24576445726492e-14,3.806478941571965e-16,2.6645352591003757e-15,3.3306690738754696e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.653162428647538e-16,4.440892098500626e-16
additive,20260840,75,20365,2.593,True,True,32,3.250886749983377e-08,4.440892098500626e-16,2.0935493598383133,3.8519534784065e-14,1.0135576240733441e-15,3.750597715999166e-14,,1.1848931613585729e-14,3.117788166808723e-16,1.1537152796904856e-14,4.440892098500626e-16,1.7763568394002505e-15,8.881784197001252e-16,0.0,2.220446049250313e-15,8.881784197001252e-16,9.97614689270319e-16,4.440892098500626e-16
