family,seed,audit_id,official_test_index,true_class_id,output_scale_s,resolved,certification_pass,quadrature_order,numerical_tolerance,nested_quadrature_error,endpoint_change,R,D,H,chi,R_over_s,D_over_s,H_over_s,max_abs_transfer_entry,pot_conservation_error,bshap_reconstruction_error,ig_reconstruction_error,bshap_completeness_error,ig_completeness_error,margin_gap_error,interior_mobius_reconstruction_error,pot_order1_L1_over_s,pot_order1_max_abs_over_s,pot_order2_L1_over_s,pot_order2_max_abs_over_s,pot_order3_L1_over_s,pot_order3_max_abs_over_s,pot_order4_L1_over_s,pot_order4_max_abs_over_s,pot_order5_L1_over_s,pot_order5_max_abs_over_s,pot_order6_L1_over_s,pot_order6_max_abs_over_s,pot_order7_L1_over_s,pot_order7_max_abs_over_s,pot_order8_L1_over_s,pot_order8_max_abs_over_s,max_abs_pot_order_ge2_over_s,max_abs_pot_order_ge3_over_s
additive,20260924,21,750,2,18.824564473822164,True,True,32,1.8824564473822165e-07,1.0962653007595691e-10,10.781123250632636,3.140598892059643e-13,3.08959207424258e-15,3.109702971317217e-13,,1.6683514226462058e-14,1.641255540620359e-16,1.651938867240002e-14,2.1316282072803005e-15,1.0547118733938987e-14,2.6645352591003757e-15,0.0,0.0,5.329070518200751e-15,2.7787296273475342e-15,0.0,0.5727156803879895,0.14366558817269717,1.6041840602367362e-15,1.8872753649843955e-16,4.812552180710208e-15,1.8872753649843955e-16,8.30401160593134e-15,3.774550729968791e-16,9.342013056672758e-15,5.661826094953186e-16,6.322372472697725e-15,5.661826094953186e-16,1.698547828485956e-15,4.718188412460988e-16,1.8872753649843955e-16,1.8872753649843955e-16,5.661826094953186e-16,5.661826094953186e-16
additive,20260924,22,1640,2,18.824564473822164,True,True,32,1.8824564473822165e-07,1.4021284133747258e-12,1.57758289626471,2.3121782266599666e-13,2.6899117853775213e-15,2.2852791088061916e-13,,1.2282771428126957e-14,1.4289370620596134e-16,1.2139877721920997e-14,1.7763568394002505e-15,9.131584377541913e-15,2.4424906541753444e-15,0.0,4.218847493575595e-15,3.9968028886505635e-15,2.2881167859893704e-15,0.0,0.17833109019991486,0.08535207246899712,6.133644936199285e-16,9.436376824921978e-17,2.6893673951027636e-15,1.8872753649843955e-16,5.378734790205527e-15,1.8872753649843955e-16,7.266010155189923e-15,3.774550729968791e-16,5.614644210828576e-15,4.718188412460988e-16,2.123184785607445e-15,4.718188412460988e-16,3.774550729968791e-16,3.774550729968791e-16,4.718188412460988e-16,4.718188412460988e-16
additive,20260924,23,2633,2,18.824564473822164,True,True,32,1.8824564473822165e-07,1.8886625596792328e-10,7.115410037275735,3.092199115809332e-13,3.781697177629443e-15,3.0543821440330375e-13,,1.642640455299462e-14,2.008916159993157e-16,1.6225512936995305e-14,2.886579864025407e-15,1.8693380177126073e-14,1.9984014443252818e-15,0.0,3.552713678800501e-15,7.993605777301127e-15,2.290231496512466e-15,0.0,0.4023020366491403,0.11998117541135483,1.226728987239857e-15,9.436376824921978e-17,4.15200580296567e-15,1.8872753649843955e-16,7.549101459937581e-15,3.774550729968791e-16,8.587102910679e-15,5.661826094953186e-16,6.794191313943824e-15,6.605463777445384e-16,3.397095656971912e-15,8.49273914242978e-16,1.0380014507414175e-15,1.0380014507414175e-15,1.0380014507414175e-15,1.0380014507414175e-15
additive,20260924,24,2999,2,18.824564473822164,True,True,32,1.8824564473822165e-07,1.1102230246251565e-15,1.1757107999468097,2.824178391147569e-13,2.241824450944731e-15,2.801760146638122e-13,,1.5002622743675855e-14,1.1909037545395855e-16,1.4883532368221897e-14,2.7200464103316335e-15,1.2760625889285393e-14,6.661338147750939e-16,0.0,8.881784197001252e-16,3.1086244689504383e-15,6.883382752675971e-16,0.0,0.1957060450167641,0.08108313462925067,1.1323652189906373e-15,1.8872753649843955e-16,3.6330050775949614e-15,1.8872753649843955e-16,7.407555807563753e-15,3.302731888722692e-16,8.823012331302049e-15,4.718188412460988e-16,5.709007979077796e-15,6.605463777445384e-16,2.1703666697320547e-15,3.774550729968791e-16,9.436376824921978e-17,9.436376824921978e-17,6.605463777445384e-16,6.605463777445384e-16
additive,20260924,25,6288,2,18.824564473822164,True,True,32,1.8824564473822165e-07,2.4990665092872177e-10,0.6331243991303612,2.144521663424318e-13,2.7466455036299444e-15,2.1170552083880187e-13,,1.1392144909416285e-14,1.4590751926555792e-16,1.1246237390150728e-14,2.0192181260370035e-15,8.756884106730922e-15,1.1102230246251565e-15,0.0,4.440892098500626e-16,1.7763568394002505e-15,1.1567466561332584e-15,0.0,0.30777922347120257,0.08662705830177626,1.1323652189906373e-15,1.4154565237382966e-16,3.302731888722692e-15,2.359094206230494e-16,5.5202804425793564e-15,2.830913047476593e-16,6.1336449361992854e-15,4.718188412460988e-16,4.38791522358872e-15,4.718188412460988e-16,1.4154565237382966e-15,3.774550729968791e-16,1.8872753649843955e-16,1.8872753649843955e-16,4.718188412460988e-16,4.718188412460988e-16
additive,20260924,26,6518,2,18.824564473822164,True,True,32,1.8824564473822165e-07,7.404965529644869e-11,3.223269420228462,5.016126403134535e-13,3.0875104060714055e-15,4.985251299073822e-13,,2.6646706276312882e-14,1.6401497152111872e-16,2.6482691304791765e-14,3.885780586188048e-15,2.9282132274488504e-14,1.3322676295501878e-15,0.0,0.0,1.7763568394002505e-15,1.3248661427193527e-15,0.0,0.23730618467525347,0.06789066467186299,1.3210927554890768e-15,1.8872753649843955e-16,5.5202804425793564e-15,2.830913047476593e-16,1.1370834074030982e-14,4.718188412460988e-16,1.3965837700884527e-14,7.077282618691483e-16,1.245601740889701e-14,1.0851833348660274e-15,6.558281893320774e-15,1.3682746396136867e-15,1.5570021761121263e-15,1.5570021761121263e-15,1.5570021761121263e-15,1.5570021761121263e-15
additive,20260924,27,7013,2,18.824564473822164,True,True,32,1.8824564473822165e-07,5.4738401589204955e-09,-1.620127336084768,2.08131395715955e-13,9.161983341311412e-16,2.0721519738182387e-13,,1.1056372433231426e-14,4.867036023092199e-17,1.1007702073000504e-14,1.3544720900426909e-15,7.993605777301127e-15,1.5543122344752192e-15,0.0,8.881784197001252e-16,6.661338147750939e-16,1.5109606687517624e-15,0.0,0.44799246809304777,0.08530138071779349,8.964557983675878e-16,9.436376824921978e-17,3.0668224680996427e-15,1.4154565237382966e-16,5.331552906080917e-15,2.830913047476593e-16,6.180826820323895e-15,3.302731888722692e-16,4.435097107713329e-15,4.24636957121489e-16,1.5570021761121263e-15,3.774550729968791e-16,2.359094206230494e-16,2.359094206230494e-16,4.24636957121489e-16,4.24636957121489e-16
additive,20260924,28,7633,2,18.824564473822164,True,True,32,1.8824564473822165e-07,2.4965210454475084e-10,4.756117923999648,2.679967359142665e-13,1.7240177539536357e-15,2.6627271816031286e-13,,1.4236543761049474e-14,9.158340722044811e-17,1.4144960353829025e-14,1.850371707708594e-15,1.0103029524088925e-14,2.6645352591003757e-15,0.0,3.552713678800501e-15,0.0,2.667707324885018e-15,0.0,0.46751905773105645,0.1770149265521522,1.1795471031152472e-15,1.8872753649843955e-16,4.10482391884106e-15,1.8872753649843955e-16,7.313192039314532e-15,2.830913047476593e-16,7.78501088056063e-15,3.774550729968791e-16,5.331552906080917e-15,5.190007253707087e-16,2.028821017358225e-15,5.190007253707087e-16,4.718188412460989e-17,4.718188412460989e-17,5.190007253707087e-16,5.190007253707087e-16
additive,20260924,29,8675,2,18.824564473822164,True,True,32,1.8824564473822165e-07,9.754419494356625e-13,1.1502066462276037,3.4267152607522384e-13,2.377331136182462e-15,3.402941949390414e-13,,1.8203423858849433e-14,1.262887722841306e-16,1.8077135086565306e-14,2.7533531010703883e-15,1.2101430968414206e-14,2.4424906541753444e-15,0.0,0.0,1.1102230246251565e-15,2.5566850224225037e-15,0.0,0.3930696125233046,0.09111733144245666,1.5570021761121263e-15,9.436376824921978e-17,4.906915948959428e-15,2.830913047476593e-16,9.483558709046587e-15,4.718188412460988e-16,1.1182106537532543e-14,6.133644936199285e-16,6.8413731980684334e-15,5.661826094953186e-16,1.4154565237382966e-15,5.661826094953186e-16,6.605463777445384e-16,6.605463777445384e-16,6.605463777445384e-16,6.605463777445384e-16
additive,20260924,30,1852,3,18.824564473822164,True,True,32,1.8824564473822165e-07,9.422465030439753e-10,0.05297459037608521,2.1102194066221122e-13,3.003153281611049e-15,2.0801878738060017e-13,,1.1209924190047679e-14,1.595337456963372e-16,1.1050390444351341e-14,1.609823385706477e-15,9.547918011776346e-15,3.1086244689504383e-15,0.0,2.4424906541753444e-15,2.220446049250313e-16,3.1205197156428515e-15,4.440892098500626e-15,0.42452612337286333,0.0784353371331567,6.959327908379958e-16,9.436376824921978e-17,2.3119123221058844e-15,1.179547103115247e-16,4.6474155862740736e-15,1.651365944361346e-16,6.334167943728877e-15,3.302731888722692e-16,5.024870659270953e-15,4.954097833084038e-16,2.1349802566385972e-15,5.072052543395563e-16,4.3643242815264147e-16,4.3643242815264147e-16,5.072052543395563e-16,5.072052543395563e-16
