audit_id,dataset_index,target,mlp_median_D_over_s,mlp_median_H_over_s,mlp_median_chi,mlp_visible_seed_count,mlp_material_seed_count,mlp_fc_seed_count,crossnet_median_D_over_s,crossnet_median_H_over_s,crossnet_median_chi,crossnet_visible_seed_count,crossnet_material_seed_count,crossnet_fc_seed_count,delta_H_mlp_minus_crossnet,delta_D_mlp_minus_crossnet,shared_fc_any
45,6168,1.655,0.2069698077591146,0.2296385740735682,0.4905175175332322,0,5,0,0.0251512173059522,0.0489952353904125,0.7037407176675043,1,2,0,0.18064333868315569,0.1818185904531624,False
46,14636,1.663,0.3936206906142412,6.797876259616313,0.951984568012438,0,5,0,0.21835619204465,1.3713394253316542,0.8927382124848642,0,5,0,5.426536834284659,0.1752644985695912,False
47,13286,1.664,0.188150988612912,0.7166428477491904,0.7920509832721571,0,5,0,0.0411406171958833,0.1242015372177376,0.7439555441104211,0,5,0,0.5924413105314528,0.1470103714170287,False
48,14542,1.683,0.179322690431689,1.202708050420167,0.8604997311575396,0,5,0,0.0994455275539819,0.3321387756716841,0.7423764096384435,0,5,0,0.870569274748483,0.0798771628777071,False
49,14720,1.772,0.2270129145578761,0.3490794170090688,0.6829757141338197,0,5,0,0.1038843766986453,0.1463618009359886,0.5935578352673525,0,5,0,0.2027176160730802,0.1231285378592308,False
50,7158,1.819,0.1915600811243465,1.9261870778433667,0.9176344141235102,0,5,0,0.0602864925074546,0.399503254991289,0.8736673964908089,0,5,0,1.5266838228520778,0.1312735886168919,False
51,730,1.828,0.4818585624748019,1.0235774944613854,0.6361155416693122,0,5,0,0.1374859821322004,0.3040611506614541,0.5464148813752987,0,5,0,0.7195163437999312,0.34437258034260154,False
52,738,1.869,0.5084052994551995,0.6330727988490156,0.5545344166506117,0,5,0,0.0983485794722645,0.2338588386607412,0.5849802020313428,0,5,0,0.3992139601882744,0.410056719982935,False
53,3461,1.894,0.1069473820295431,0.0971301328892616,0.512546996501065,0,5,0,0.0159796189776743,0.0134085006702349,0.4562558214298288,4,0,0,0.0837216322190267,0.0909677630518688,False
54,15343,1.898,0.2644493311818185,1.873468647241554,0.9162630728578868,0,5,0,0.0925711223456087,0.5116318905771807,0.826167860678559,0,5,0,1.3618367566643732,0.1718782088362098,False
