audit_id,dataset_index,target,fc_seed_count,visible_agreement_seed_count,material_hidden_seed_count,median_D_over_s,min_D_over_s,max_D_over_s,std_D_over_s,median_H_over_s,min_H_over_s,max_H_over_s,std_H_over_s,median_chi,fc_seed_fraction
78,19315,2.698,0,0,5,0.3939608439782624,0.2028149435459029,0.6912983371859195,0.1627924593308151,1.4594016654373836,0.9126217711029648,2.619022738187505,0.591847252947344,0.8399170575846708,0.0
15,5030,1.01,0,0,5,0.2220100066384742,0.084606831208254,0.2933746322895912,0.08953197444383991,1.444253174199494,1.181422498728868,2.9970628164823885,0.7023311315012362,0.9115135462319156,0.0
61,15883,2.173,0,0,5,0.8057851827884581,0.5848781656354893,0.8602004058602503,0.11394090447432575,1.4366310182568842,0.7538994876280105,1.8695867729967857,0.4186466378160758,0.6269133034493052,0.0
60,15570,2.109,0,0,5,0.1351683238128004,0.0922586896445641,0.4305579691470839,0.12756748614076666,1.345529373611229,0.6698854851647084,2.298131587162346,0.5523195463281513,0.9168823899749732,0.0
63,11025,2.223,0,0,5,0.215561584732451,0.1090253689198134,0.3682982217364991,0.08371311545830913,1.3151144221788238,0.7068046388547318,1.74575856904114,0.3708406282574421,0.8591722978872393,0.0
43,14526,1.634,0,0,5,0.1179134920519971,0.0872203401753134,0.3779653701466,0.10825859911052958,1.302873640587542,0.5910566281392203,2.320527820304509,0.6477473606146181,0.937255796095564,0.0
65,11267,2.256,0,0,5,0.2176605676207253,0.1229641543651125,0.3034686913294433,0.06475110025004245,1.2642133749479458,0.6092079151843819,2.681772452701069,0.7289786570623528,0.8981342201285535,0.0
18,1857,1.059,0,0,5,0.1608405742780434,0.1163662001833449,0.5319069178506368,0.15358405858792512,1.2255089395215164,0.6725890823146881,1.6210458838721766,0.3021328804728743,0.8267455437310302,0.0
48,14542,1.683,0,0,5,0.179322690431689,0.0586729880619049,0.3460203593046703,0.09711080489593749,1.202708050420167,0.585258976561292,2.2024475625954065,0.5690011553854767,0.8604997311575396,0.0
82,19114,2.911,0,0,5,0.3997455871627732,0.1007366530221489,0.5375747746918571,0.148477567568335,1.159149359940348,0.4304323880136015,1.1968057568451462,0.2924511588331588,0.7495424548888098,0.0
95,10805,5.00001,0,0,5,0.183364101704367,0.115238749706903,0.3872569683901948,0.09400471697604229,1.14081413127212,0.7471431782545142,2.154439644347297,0.5043102207477802,0.8482444148676019,0.0
9,12279,0.819,0,0,5,0.0948017977464771,0.0822889884196336,0.1281610612413375,0.016041881125469584,1.1180437098803548,0.9541101426379192,2.004890068241618,0.36974503602419057,0.928308386824014,0.0
34,10023,1.444,0,0,5,0.1198631283925521,0.0890048070331456,0.2000980684285943,0.042704379152395035,1.0910525553934702,0.7404737420971715,1.3827732529090988,0.23095950978671706,0.892697879738464,0.0
87,17862,3.205,0,0,5,0.3312286165463499,0.121628449716633,0.4373362649409645,0.10587011918872045,1.076694615911496,0.5004374289553157,1.4884720375087424,0.36440181615110184,0.7926415272295636,0.0
23,9470,1.162,0,0,5,0.4903272854166561,0.306595672028738,0.7921995168334668,0.17618090962331903,1.0358016089611222,0.4640467415806705,1.556636575572777,0.35006178682761746,0.6896431650119493,0.0
51,730,1.828,0,0,5,0.4818585624748019,0.1733859163778663,0.6750077073456239,0.18343957950509068,1.0235774944613854,0.7629240778955821,1.205006270899541,0.1705231059119195,0.6361155416693122,0.0
88,18118,3.401,0,0,5,0.5465590490593156,0.2968930724420442,0.6767837439227111,0.12765164600785045,1.0050239443340794,0.3835911574801164,1.0535816387671644,0.25102236073043543,0.6477410158615095,0.0
69,6618,2.306,0,0,5,0.2029311510082582,0.1261189102661808,0.2772580559127616,0.05652884702254577,0.9957827916802724,0.5055365345841963,1.5973764005741569,0.41247357151378033,0.7896616158028774,0.0
1,12797,0.598,0,0,5,0.1259358747928108,0.0347603881101471,0.1385267016290022,0.04372095560463119,0.9951577737777456,0.7666008374553976,1.298892580637174,0.1967604369486323,0.8875491583272558,0.0
8,9579,0.797,0,0,5,0.1120530356667267,0.0963174809148237,0.1306546011165391,0.011438250874218393,0.9670896773819442,0.911520554908262,1.876701325407553,0.3656672626663675,0.9012713113228686,0.0
44,17733,1.645,0,0,5,0.3866634914504389,0.2290779566187556,0.4369965761392399,0.08416275044118336,0.9461982313432656,0.5614225020561552,1.0378296475586355,0.18938824612631608,0.7189386844510204,0.0
89,11610,3.591,0,0,5,0.1968365462546417,0.1090375696558112,0.2548238799409417,0.06086742921921677,0.9279652723449004,0.4981818273116892,1.53600949707987,0.36811036774338557,0.8203108969480077,0.0
85,9293,3.109,0,0,5,0.5398794605772257,0.2120917809635375,0.565690576841881,0.13828388713523712,0.8961972186515827,0.5401435938316684,1.2169478264040297,0.22264318228766883,0.6405967066900224,0.0
68,13255,2.305,0,0,5,0.1230617070667515,0.0658989129529947,0.2362267965731496,0.06083174457242483,0.89292162632711,0.4852193766226509,1.365857510526704,0.31334908720033866,0.8944687249123735,0.0
24,16444,1.167,0,0,5,0.1283958490032782,0.0632492180593281,0.2026317564584077,0.04624241184722892,0.7990429741675794,0.5932334185582386,1.0780899411608356,0.18356320773228502,0.8615586863570144,0.0
33,1951,1.426,0,0,5,0.132931040896194,0.1060160806499779,0.180627654466781,0.02992980381710477,0.7765388699629895,0.5543001788566065,1.1988058533268977,0.21332473366860363,0.8394465089664799,0.0
93,6702,4.932,0,0,5,0.1388822405759806,0.0951783111588981,0.2605905049028809,0.06283162582822821,0.727856793526755,0.319347931027648,1.0834846273853047,0.30096365796292535,0.8767929450919555,0.0
62,16663,2.193,0,0,5,0.0773477233648907,0.0435300211966115,0.1892319747267497,0.05959567791370343,0.7212519337895896,0.452835338529606,1.0610291039498685,0.19436065877641065,0.8980744689975779,0.0
47,13286,1.664,0,0,5,0.188150988612912,0.0632319003896124,0.3070764738057075,0.07939981123087089,0.7166428477491904,0.4517252601839616,1.096508619931148,0.2597611750833463,0.7920509832721571,0.0
71,19348,2.446,0,0,5,0.1588769856303667,0.0791069141417191,0.5611931798589005,0.18404841921180515,0.7065220330537109,0.3936923477288215,1.6077522431303366,0.45598900374213885,0.8955592423737953,0.0
28,15342,1.256,0,0,5,0.073489256763527,0.0527447921074452,0.3523675837330066,0.11348119399897154,0.6361342723533102,0.2388152272990313,1.1507093752053232,0.33689867043894356,0.8964390923522672,0.0
52,738,1.869,0,0,5,0.5084052994551995,0.1483623088427989,0.6461311326372275,0.17302134022596877,0.6330727988490156,0.3405506113119207,0.8839268020625521,0.1757354250254028,0.5545344166506117,0.0
12,13055,0.961,0,0,5,0.139355030748235,0.0360169815681158,0.1457172633849901,0.04592788138286296,0.5123294769843059,0.3764522769838196,0.5873502672512784,0.07716880609462783,0.8044385430812514,0.0
13,12827,0.962,0,0,5,0.114917772091127,0.0572077633438472,0.1502043241993551,0.03744912819371604,0.4622003554668414,0.3569955796505323,0.7249508050512229,0.1309155846601958,0.8631717208874103,0.0
4,2961,0.699,0,0,5,0.0665359535416445,0.0234650112089546,0.1057737810716868,0.031019579333670222,0.3733464244237042,0.2156594406226246,0.8412503598305252,0.21537302344171166,0.9018711343435442,0.0
74,16647,2.589,0,0,5,0.0780672675456831,0.0520997483126148,0.1437898097397004,0.03416334950268228,0.3507996661641349,0.2806915309461285,0.4605896619102559,0.05979289639588768,0.8258995908519461,0.0
27,12928,1.216,0,0,5,0.1131873827742307,0.0338332546524065,0.1390233227532096,0.044010035761442176,0.3504361908342982,0.2696187692820639,0.4454022408818691,0.07591137375747814,0.7958972207821631,0.0
49,14720,1.772,0,0,5,0.2270129145578761,0.130743442380071,0.3911285457844135,0.08480452019264913,0.3490794170090688,0.335174404955084,0.6423146735486479,0.11675498504092388,0.6829757141338197,0.0
72,11032,2.48,0,0,5,0.125164233462058,0.115978615167148,0.4414555863180197,0.12550458549236793,0.3405228027216928,0.2036553891392843,0.6854999267776836,0.18180813980528845,0.7312267172224424,0.0
59,1456,2.041,0,0,5,0.0983659170418112,0.0631453321230546,0.275869529442043,0.07659682770673626,0.2465769359860141,0.1656270985757956,0.4626462368723016,0.10362523705560132,0.7239818979491571,0.0
45,6168,1.655,0,0,5,0.2069698077591146,0.0797736050700335,0.3163108733423277,0.07911150081922506,0.2296385740735682,0.1485559016088902,0.4307901151302293,0.11165342838780484,0.4905175175332322,0.0
53,3461,1.894,0,0,5,0.1069473820295431,0.0685725508713868,0.1994607179910313,0.044469300346726366,0.0971301328892616,0.0524818310881307,0.1858797675451903,0.04714952740750205,0.512546996501065,0.0
21,2993,1.098,0,0,4,0.0289799498454626,0.0219626898634304,0.0345100879609822,0.004058627448651139,0.0745199446037804,0.0460369355957531,0.1098359465028427,0.020694490579987814,0.7136062143170129,0.0
