beta_requested,rep,d,m_edges,beta_formula,rank_B,numerical_nullity,rank_tolerance,R_hidden,D_hidden,H_hidden,max_abs_Ah,l2_Ah
1,28,12,12,1,11,1,6.080495226399524e-15,0.9999999999999998,2.418312058034604e-16,0.9999999999999996,1.1102230246251565e-16,1.6434309917318072e-16
1,29,12,12,1,11,1,5.980190606677727e-15,1.0,1.8041124150158794e-16,0.9999999999999998,1.3877787807814457e-16,1.6821199545302999e-16
1,30,12,12,1,11,1,6.191421520676759e-15,1.0,3.0400571742372604e-16,0.9999999999999997,1.0887664120510254e-16,2.136439338092945e-16
1,31,12,12,1,11,1,6.365939428992255e-15,1.0000000000000002,1.0598479156458487e-15,0.9999999999999991,5.551115123125776e-16,8.773392656321873e-16
1,32,12,12,1,11,1,5.8698352221189546e-15,1.0,1.2146155555214966e-15,0.9999999999999988,7.367415476947042e-16,1.154976156492578e-15
1,33,12,12,1,11,1,6.194396477606545e-15,0.9999999999999998,3.6607869991356566e-16,0.9999999999999994,1.6653345369377348e-16,2.7421409203129225e-16
1,34,12,12,1,11,1,6.4385995681207505e-15,1.0000000000000002,1.7461338521797846e-16,1.0,8.326672684688674e-17,1.3774904759569225e-16
1,35,12,12,1,11,1,6.236052458948504e-15,1.0,1.490022528866148e-16,0.9999999999999999,5.551115123125783e-17,1.071942768832051e-16
1,36,12,12,1,11,1,6.191354114419377e-15,1.0,3.2771640334856075e-16,0.9999999999999997,1.563469676461996e-16,2.394025452587558e-16
1,37,12,12,1,11,1,6.1732224373103836e-15,1.0,2.743316377306649e-16,0.9999999999999998,1.1217282337237452e-16,2.0302187790912908e-16
1,38,12,12,1,11,1,6.1969290247618694e-15,1.0,5.305305716313679e-16,0.9999999999999994,2.498001805406602e-16,4.0575792901702955e-16
1,39,12,12,1,11,1,6.783915907330955e-15,0.9999999999999998,4.760196825690593e-16,0.9999999999999993,2.4980018054066e-16,3.597876415456432e-16
1,40,12,12,1,11,1,5.8550961687644694e-15,0.9999999999999999,1.3935021820231813e-16,0.9999999999999998,1.1102230246251565e-16,1.3555131074680467e-16
1,41,12,12,1,11,1,6.286319784594356e-15,1.0,9.43689570931381e-16,0.9999999999999991,4.544975507059224e-16,7.120231623589452e-16
1,42,12,12,1,11,1,6.199080968536988e-15,1.0000000000000002,2.5012321686925613e-16,1.0,1.021886296295975e-16,1.8130700270059932e-16
1,43,12,12,1,11,1,6.125045311989142e-15,1.0,1.4598171125312992e-16,0.9999999999999999,7.18960666146225e-17,1.116481642570007e-16
1,44,12,12,1,11,1,6.1968673708015006e-15,1.0000000000000002,5.064764524843908e-16,0.9999999999999997,2.220446049250313e-16,3.994380098463636e-16
1,45,12,12,1,11,1,6.653921618408109e-15,1.0000000000000002,4.691499034377227e-16,0.9999999999999998,2.9016251881296925e-16,3.817706072554539e-16
1,46,12,12,1,11,1,6.2009653714470544e-15,1.0,4.0171417971485534e-16,0.9999999999999996,1.6653345369377348e-16,2.7443727765070746e-16
1,47,12,12,1,11,1,6.275480220962079e-15,1.0,1.8735013540549517e-16,0.9999999999999998,1.1102230246251565e-16,1.6206439959652127e-16
1,48,12,12,1,11,1,5.6374580533990504e-15,1.0000000000000002,6.867677673842046e-17,1.0000000000000002,4.163336342344337e-17,5.887846720064156e-17
1,49,12,12,1,11,1,6.039919190285196e-15,1.0,5.848702783628147e-16,0.9999999999999994,2.7755575615628914e-16,4.584575787089621e-16
1,50,12,12,1,11,1,6.6325835659935454e-15,0.9999999999999999,2.2394205598761665e-16,0.9999999999999997,8.068235998053632e-17,1.5466717556393866e-16
1,51,12,12,1,11,1,6.333320667360285e-15,0.9999999999999999,2.8006505261281247e-16,0.9999999999999996,1.3877787807814457e-16,2.2413442218421035e-16
1,52,12,12,1,11,1,6.7345216441490085e-15,1.0,2.2204460492503126e-16,0.9999999999999998,8.326672684688674e-17,1.5853512473345904e-16
1,53,12,12,1,11,1,6.193976830359202e-15,0.9999999999999998,2.017216071419182e-16,0.9999999999999996,1.1102230246251565e-16,1.59692468954857e-16
1,54,12,12,1,11,1,6.1553430844473514e-15,1.0,3.2574212196084074e-16,0.9999999999999997,1.1047887138522954e-16,2.1562736083518826e-16
1,55,12,12,1,11,1,6.583230307271586e-15,0.9999999999999999,2.0376034861340917e-16,0.9999999999999997,8.01234452659818e-17,1.4858930221753826e-16
1,56,12,12,1,11,1,6.2200218344329125e-15,0.9999999999999999,2.470732011868843e-16,0.9999999999999997,1.0121027233153818e-16,1.6967908558945124e-16
1,57,12,12,1,11,1,6.1660739185898075e-15,0.9999999999999998,2.2367162206437346e-15,0.9999999999999976,1.690604695112211e-15,2.1635423648831326e-15
1,58,12,12,1,11,1,5.8756728069692695e-15,0.9999999999999998,1.1585281023816993e-15,0.9999999999999987,6.938893903907228e-16,1.0072721058179083e-15
1,59,12,12,1,11,1,6.162562074764543e-15,1.0,2.823917381648768e-16,0.9999999999999997,1.6653345369377348e-16,2.2817604204488313e-16
1,60,12,12,1,11,1,5.928787677453644e-15,0.9999999999999999,1.932944947419404e-15,0.999999999999998,1.1959308522116957e-15,1.484516985056146e-15
1,61,12,12,1,11,1,6.1168142328548775e-15,1.0,4.404557261835969e-16,0.9999999999999996,2.832791573980245e-16,3.7972089114215317e-16
1,62,12,12,1,11,1,6.197380654626215e-15,1.0,4.935790346574252e-16,0.9999999999999996,2.220446049250313e-16,3.4525166633630585e-16
1,63,12,12,1,11,1,6.0466981428259e-15,0.9999999999999999,2.42861286636753e-16,0.9999999999999997,1.1102230246251565e-16,1.8174074542116604e-16
1,64,12,12,1,11,1,5.9876797458866705e-15,0.9999999999999999,7.281394808093997e-16,0.9999999999999991,3.12250225675825e-16,5.548523280519853e-16
1,65,12,12,1,11,1,7.085991152073583e-15,1.0,4.0575326858186006e-16,0.9999999999999996,1.6538293278391462e-16,2.742247355989846e-16
1,66,12,12,1,11,1,5.791219106535231e-15,1.0,2.6436970278208626e-16,0.9999999999999998,1.3877787807814457e-16,2.17387756033986e-16
1,67,12,12,1,11,1,5.8341552816049014e-15,0.9999999999999999,9.442917408855604e-16,0.9999999999999989,3.608224830031759e-16,7.045422695174725e-16
1,68,12,12,1,11,1,5.841900054033731e-15,1.0,3.843516411960861e-16,0.9999999999999997,2.7755575615628914e-16,3.334977693893434e-16
1,69,12,12,1,11,1,6.6361424733978276e-15,0.9999999999999998,3.6282567343778326e-16,0.9999999999999994,1.1102230246251565e-16,2.445078226908506e-16
1,70,12,12,1,11,1,5.831195219807982e-15,1.0,2.419030549897805e-16,0.9999999999999998,8.326672684688674e-17,1.624434080652306e-16
1,71,12,12,1,11,1,5.818708806761235e-15,1.0,2.090225894337772e-16,0.9999999999999998,1.2947959992959405e-16,1.8322930086903912e-16
1,72,12,12,1,11,1,6.111200133741074e-15,1.0,2.9359039543929325e-16,0.9999999999999997,1.4170811216130075e-16,2.225070753988663e-16
1,73,12,12,1,11,1,6.173381932581616e-15,0.9999999999999998,2.161641925445032e-16,0.9999999999999996,8.326672684688674e-17,1.5818934101643885e-16
1,74,12,12,1,11,1,6.4243688425651525e-15,1.0,3.175005623704745e-16,0.9999999999999997,1.3877787807814457e-16,2.2066746325438666e-16
1,75,12,12,1,11,1,6.744364730791781e-15,1.0000000000000002,1.783318550588375e-16,1.0,6.694860078420685e-17,1.261592039475629e-16
1,76,12,12,1,11,1,6.422657795332225e-15,1.0000000000000002,7.124607009558127e-16,0.9999999999999996,3.885780586188048e-16,5.363284484115511e-16
1,77,12,12,1,11,1,6.592200914755908e-15,1.0,2.318550725818877e-15,0.9999999999999977,1.0230300875622385e-15,1.7343966784766535e-15
1,78,12,12,1,11,1,6.0227415119731e-15,1.0,3.4520063954288287e-16,0.9999999999999997,1.782309849645722e-16,2.7158701969756127e-16
1,79,12,12,1,11,1,5.901415284710179e-15,0.9999999999999999,3.810706189366277e-16,0.9999999999999996,1.3877787807814457e-16,2.669651635626225e-16
1,80,12,12,1,11,1,5.834757906439502e-15,0.9999999999999998,3.8890718123787714e-16,0.9999999999999993,1.6653345369377348e-16,2.874649493343895e-16
1,81,12,12,1,11,1,6.2968729214379944e-15,0.9999999999999999,4.2892809014538366e-16,0.9999999999999994,3.885780586188048e-16,4.855685722545984e-16
1,82,12,12,1,11,1,5.914066084349986e-15,0.9999999999999999,5.060709155068896e-16,0.9999999999999993,1.942890293094024e-16,3.8024991085409633e-16
1,83,12,12,1,11,1,5.879864250782359e-15,0.9999999999999999,5.273559366969493e-16,0.9999999999999993,2.1608400900456023e-16,3.510677758591968e-16
1,84,12,12,1,11,1,6.267931169760571e-15,1.0,3.2174067861973866e-16,0.9999999999999997,1.3877787807814457e-16,2.165321582683097e-16
1,85,12,12,1,11,1,7.181790671738416e-15,1.0,3.2915206933566336e-16,0.9999999999999997,1.942890293094024e-16,2.5354871475916676e-16
1,86,12,12,1,11,1,6.202103176122016e-15,1.0000000000000002,9.383409473030443e-17,1.0000000000000002,5.551115123125783e-17,8.203581550689934e-17
1,87,12,12,1,11,1,6.170812181904175e-15,1.0,1.3563626898267354e-16,0.9999999999999999,8.326672684688674e-17,1.1565685818942042e-16
1,88,12,12,1,11,1,6.399757861271196e-15,1.0,2.133426836812229e-16,0.9999999999999998,8.326672684688674e-17,1.475341038078743e-16
1,89,12,12,1,11,1,6.32138191867135e-15,1.0,3.0184188481996443e-16,0.9999999999999997,1.1102230246251564e-16,2.080511367431169e-16
1,90,12,12,1,11,1,6.202275228891809e-15,1.0,6.508281661882147e-16,0.9999999999999993,4.1664191538310473e-16,5.349918440857709e-16
1,91,12,12,1,11,1,5.8456146161751415e-15,1.0,3.5493038211198147e-16,0.9999999999999997,9.71445146547012e-17,2.213696723237351e-16
1,92,12,12,1,11,1,6.451063729548411e-15,0.9999999999999999,2.2351438544990533e-16,0.9999999999999997,9.816712925846892e-17,1.5705506780064932e-16
1,93,12,12,1,11,1,5.648197976874073e-15,1.0,5.25310845739346e-16,0.9999999999999994,2.047746107480245e-16,3.6473306250866534e-16
1,94,12,12,1,11,1,5.83740468507641e-15,1.0,1.028596806873535e-15,0.999999999999999,4.906538933386792e-16,7.570400532800394e-16
1,95,12,12,1,11,1,6.108486443895026e-15,1.0000000000000002,3.5554245889806797e-16,0.9999999999999999,1.580655873985291e-16,2.7308867788250274e-16
1,96,12,12,1,11,1,6.634544201237766e-15,1.0,1.4586832978507092e-16,0.9999999999999999,7.797632568219454e-17,1.1353828858689254e-16
1,97,12,12,1,11,1,5.826956102016813e-15,1.0,5.162519901994894e-16,0.9999999999999994,2.7755575615628914e-16,4.044445778673905e-16
1,98,12,12,1,11,1,5.731409175412906e-15,1.0,2.7363575014902654e-16,0.9999999999999998,1.3877787807814457e-16,2.023915097915852e-16
1,99,12,12,1,11,1,6.261192344357289e-15,1.0,2.1624562165554912e-15,0.9999999999999979,1.0615135016450916e-15,1.7224724806318349e-15
2,0,12,13,2,11,2,6.778724221006519e-15,1.0,3.7840271839827286e-16,0.9999999999999997,3.0168496457265107e-16,3.7334715104347194e-16
2,1,12,13,2,11,2,6.6610804383706485e-15,1.0000000000000002,1.3738888461035372e-16,1.0,5.706204799183043e-17,9.596590825364264e-17
2,2,12,13,2,11,2,6.724436154989292e-15,1.0,3.57303381709696e-16,0.9999999999999997,1.6653345369377348e-16,2.596211879690885e-16
2,3,12,13,2,11,2,6.5636260270411354e-15,1.0,1.957646917298766e-16,0.9999999999999998,7.112366251504909e-17,1.470535573712481e-16
2,4,12,13,2,11,2,6.6743366176580385e-15,1.0,2.3816546402468665e-16,0.9999999999999998,9.71445146547012e-17,1.7223542540389126e-16
2,5,12,13,2,11,2,6.901738167312419e-15,1.0,2.889991104028077e-16,0.9999999999999997,1.3877787807814457e-16,2.057140092426961e-16
2,6,12,13,2,11,2,6.854873819812124e-15,1.0,2.2551846233764005e-16,0.9999999999999998,9.71445146547012e-17,1.6724161181005918e-16
2,7,12,13,2,11,2,6.20986453138427e-15,1.0,2.3825136917153933e-15,0.9999999999999977,1.0432699684487252e-15,1.7480567195264403e-15
2,8,12,13,2,11,2,6.731503327434093e-15,1.0,1.9588767542080167e-16,0.9999999999999998,9.71445146547012e-17,1.420726010001484e-16
2,9,12,13,2,11,2,7.245059091710546e-15,0.9999999999999999,1.5690897820650723e-16,0.9999999999999998,8.326672684688674e-17,1.3268215423990274e-16
2,10,12,13,2,11,2,7.326207015630018e-15,0.9999999999999998,1.7146443179139053e-16,0.9999999999999996,6.384949390004338e-17,1.1444806995438525e-16
2,11,12,13,2,11,2,6.54198563787224e-15,1.0000000000000002,2.035703941971253e-15,0.9999999999999982,1.1240137825918254e-15,1.6596441524989943e-15
2,12,12,13,2,11,2,6.804160344962013e-15,1.0,1.5189352744234287e-16,0.9999999999999999,6.90825600476997e-17,1.2001607306362755e-16
2,13,12,13,2,11,2,7.043017915969091e-15,0.9999999999999999,1.3719458622026125e-15,0.9999999999999986,5.111598761243962e-16,9.979782906911376e-16
